ngram_range,max_features,min_df,umap_dims,eps,min_samples,num_clusters,noise_ratio,silhouette_score,davies_bouldin_score
"(1, 1)",1000,2,5,0.4,15,63,0.05962109955423477,0.4535087049007416,1.6654518888046488
"(1, 1)",1000,2,5,0.6,5,60,0.0,0.3451618552207947,0.3525616452365346
"(1, 1)",1000,2,5,0.6,10,53,0.011701337295690936,0.3286617398262024,1.6055853320361082
"(1, 1)",1000,2,5,0.6,15,42,0.036404160475482915,0.34510689973831177,1.5336896319353226
"(1, 1)",1000,2,5,0.8,5,53,0.0,0.43209728598594666,0.2896461266156547
"(1, 1)",1000,2,5,0.8,10,45,0.011329866270430906,0.4170476794242859,1.431454556621537
"(1, 1)",1000,2,5,0.8,15,37,0.02953194650817236,0.4080580174922943,1.5225450558403673
"(1, 1)",1000,2,5,1.0,5,49,0.0,0.42078426480293274,0.27943332370328905
"(1, 1)",1000,2,5,1.0,10,41,0.011329866270430906,0.40594154596328735,1.3569094251517257
"(1, 1)",1000,2,5,1.0,15,34,0.0274888558692422,0.4124690890312195,1.455516185780915
"(1, 1)",1000,2,10,0.2,5,164,0.10884101040118871,0.413753867149353,0.7672053409628654
"(1, 1)",1000,2,10,0.2,10,122,0.23829866270430908,0.366523414850235,0.889930246917107
"(1, 1)",1000,2,10,0.2,15,94,0.3532689450222883,0.22342617809772491,0.9256530133301266
"(1, 1)",1000,2,10,0.4,5,79,0.005943536404160475,0.3750106692314148,0.5784358423648557
"(1, 1)",1000,2,10,0.4,10,72,0.030274888558692422,0.36009469628334045,1.3586472505714697
"(1, 1)",1000,2,10,0.4,15,66,0.07485141158989599,0.4292019307613373,1.4082386072581003
"(1, 1)",1000,2,10,0.6,5,64,0.0,0.4089410901069641,0.3330152278567436
"(1, 1)",1000,2,10,0.6,10,53,0.015973254086181277,0.40310636162757874,1.366791547482257
"(1, 1)",1000,2,10,0.6,15,43,0.04049034175334324,0.40656787157058716,1.2899532810636365
"(1, 1)",1000,2,10,0.8,5,55,0.0,0.4147912859916687,0.32629655157283743
"(1, 1)",1000,2,10,0.8,10,47,0.011329866270430906,0.40106645226478577,1.2940628295157606
"(1, 1)",1000,2,10,0.8,15,39,0.029346210995542348,0.4232088327407837,1.3440840934123994
"(1, 1)",1000,2,10,1.0,5,49,0.0,0.3611418902873993,0.3177762502366437
"(1, 1)",1000,2,10,1.0,10,41,0.011329866270430906,0.34741708636283875,1.2886175551627963
"(1, 1)",1000,2,10,1.0,15,33,0.029346210995542348,0.39936190843582153,1.31860563741432
"(1, 1)",1000,2,20,0.2,5,160,0.10828380386329867,0.4327733516693115,0.8602576306157363
"(1, 1)",1000,2,20,0.2,10,122,0.22826894502228826,0.37252432107925415,0.8826384645531742
"(1, 1)",1000,2,20,0.2,15,92,0.3610698365527489,0.21183833479881287,0.9323414344269516
"(1, 1)",1000,2,20,0.4,5,76,0.004086181277860327,0.2882135212421417,0.6064642121143246
"(1, 1)",1000,2,20,0.4,10,71,0.029903417533432394,0.359936386346817,1.3581044949489691
"(1, 1)",1000,2,20,0.4,15,65,0.07113670133729569,0.4674796462059021,1.413503307297936
"(1, 1)",1000,2,20,0.6,5,62,0.0,0.39968323707580566,0.3274594490523404
"(1, 1)",1000,2,20,0.6,10,53,0.012815750371471025,0.3836252689361572,1.494238115905389
"(1, 1)",1000,2,20,0.6,15,43,0.035846953937592865,0.4097042381763458,1.3203931687668629
"(1, 1)",1000,2,20,0.8,5,56,0.0,0.3307332396507263,0.35540674720218707
"(1, 1)",1000,2,20,0.8,10,48,0.011329866270430906,0.31542083621025085,1.3490972946434445
"(1, 1)",1000,2,20,0.8,15,39,0.03138930163447251,0.34327107667922974,1.2574309294379011
"(1, 1)",1000,2,20,1.0,5,53,0.0,0.34100064635276794,0.32840805461969197
"(1, 1)",1000,2,20,1.0,10,45,0.011329866270430906,0.3256882429122925,1.350266511212847
"(1, 1)",1000,2,20,1.0,15,36,0.03138930163447251,0.36510246992111206,1.2559292078247604
"(1, 1)",1000,2,50,0.2,5,163,0.11032689450222882,0.43805843591690063,0.8148650748764312
"(1, 1)",1000,2,50,0.2,10,122,0.23291233283803864,0.3565707802772522,0.9695127320698723
"(1, 1)",1000,2,50,0.2,15,88,0.3584695393759287,0.21975843608379364,0.9102031028269961
"(1, 1)",1000,2,50,0.4,5,76,0.005200594353640416,0.3706252872943878,0.5200388041574047
"(1, 1)",1000,2,50,0.4,10,70,0.0287890044576523,0.36224818229675293,1.3142662584103793
"(1, 1)",1000,2,50,0.4,15,66,0.08172362555720654,0.4047101140022278,1.4325169111924458
"(1, 1)",1000,2,50,0.6,5,62,0.0,0.38604092597961426,0.3364575024746785
"(1, 1)",1000,2,50,0.6,10,54,0.01263001485884101,0.3908620774745941,1.3563951072451887
"(1, 1)",1000,2,50,0.6,15,43,0.038818722139673106,0.4180715084075928,1.2626957163651116
"(1, 1)",1000,2,50,0.8,5,59,0.0,0.41555699706077576,0.3198214376015179
"(1, 1)",1000,2,50,0.8,10,51,0.011329866270430906,0.4031127989292145,1.342111078418427
"(1, 1)",1000,2,50,0.8,15,41,0.03361812778603269,0.4207930862903595,1.3021356285539973
"(1, 1)",1000,2,50,1.0,5,55,0.0,0.30576154589653015,0.3697929968908998
"(1, 1)",1000,2,50,1.0,10,47,0.011329866270430906,0.29333001375198364,1.3237345504860765
"(1, 1)",1000,2,50,1.0,15,39,0.033060921248142645,0.44010382890701294,1.3097887254373046
"(1, 1)",1000,2,100,0.2,5,161,0.11404160475482912,0.4458995759487152,0.811615640126151
"(1, 1)",1000,2,100,0.2,10,118,0.2386701337295691,0.3694414496421814,0.9787258793436734
"(1, 1)",1000,2,100,0.2,15,95,0.3590267459138187,0.20174656808376312,0.9425833660919639
"(1, 1)",1000,2,100,0.4,5,77,0.0035289747399702824,0.26346686482429504,0.5885995103523493
"(1, 1)",1000,2,100,0.4,10,73,0.02897473997028232,0.3580954968929291,1.3665200355249856
"(1, 1)",1000,2,100,0.4,15,61,0.07429420505200594,0.39489051699638367,1.4023330984838487
"(1, 1)",1000,2,100,0.6,5,61,0.0,0.32363954186439514,0.3590774640482454
"(1, 1)",1000,2,100,0.6,10,53,0.01225854383358098,0.30935636162757874,1.3751103345758688
"(1, 1)",1000,2,100,0.6,15,42,0.04011887072808321,0.4182756841182709,1.3114394710164516
"(1, 1)",1000,2,100,0.8,5,56,0.0,0.4052838683128357,0.32028299612331235
"(1, 1)",1000,2,100,0.8,10,48,0.011329866270430906,0.39111191034317017,1.3169390552485358
"(1, 1)",1000,2,100,0.8,15,40,0.03138930163447251,0.4371492862701416,1.3621192756334226
"(1, 1)",1000,2,100,1.0,5,45,0.0,0.2947942614555359,0.3214571608706807
"(1, 1)",1000,2,100,1.0,10,37,0.011329866270430906,0.2809085547924042,1.2067221121505727
"(1, 1)",1000,2,100,1.0,15,30,0.029346210995542348,0.3491196930408478,1.2376266210137705
"(1, 1)",3000,2,2,0.2,5,107,0.012815750371471025,0.34613072872161865,1.3036625198816365
"(1, 1)",3000,2,2,0.2,10,96,0.05572065378900446,0.43664559721946716,1.5414944632103367
"(1, 1)",3000,2,2,0.2,15,85,0.1350297176820208,0.4076467752456665,1.8606718094085966
"(1, 1)",3000,2,2,0.4,5,69,0.0005572065378900445,0.28817376494407654,0.9224690895029206
"(1, 1)",3000,2,2,0.4,10,58,0.016530460624071323,0.2782113552093506,1.353427066438256
"(1, 1)",3000,2,2,0.4,15,44,0.04736255572065379,0.25434693694114685,1.2835754331632794
"(1, 1)",3000,2,2,0.6,5,63,0.0,0.36035609245300293,0.2541768501373285
"(1, 1)",3000,2,2,0.6,10,53,0.014858841010401188,0.37904953956604004,1.3087464891432172
"(1, 1)",3000,2,2,0.6,15,40,0.04327637444279346,0.3559419810771942,1.2815266439096207
"(1, 1)",3000,2,2,0.8,5,61,0.0,0.33962902426719666,0.250621066796634
"(1, 1)",3000,2,2,0.8,10,51,0.01411589895988113,0.35808438062667847,1.30822346693616
"(1, 1)",3000,2,2,0.8,15,38,0.042533432392273404,0.35987383127212524,1.2211267683843003
"(1, 1)",3000,2,2,1.0,5,57,0.0,0.4176168739795685,0.2422216589134863
"(1, 1)",3000,2,2,1.0,10,48,0.012815750371471025,0.4044758975505829,1.312964264463501
"(1, 1)",3000,2,2,1.0,15,36,0.03956166419019316,0.4079742133617401,1.2633650482022893
"(1, 1)",3000,2,5,0.2,5,145,0.07596582466567607,0.47324883937835693,0.8252326638996329
"(1, 1)",3000,2,5,0.2,10,124,0.17979197622585438,0.4170115888118744,1.1823990945865621
"(1, 1)",3000,2,5,0.2,15,94,0.33079494799405645,0.23462410271167755,1.430458860580518
"(1, 1)",3000,2,5,0.4,5,77,0.002786032689450223,0.2968694865703583,0.5072205110604178
"(1, 1)",3000,2,5,0.4,10,70,0.025817236255572064,0.3648010790348053,1.1531821590158242
"(1, 1)",3000,2,5,0.4,15,60,0.06890787518573552,0.32467353343963623,1.8443140802619649
"(1, 1)",3000,2,5,0.6,5,63,0.0,0.3986871838569641,0.29331375581247304
"(1, 1)",3000,2,5,0.6,10,53,0.015230312035661218,0.4370817244052887,1.1252413656955755
"(1, 1)",3000,2,5,0.6,15,41,0.04364784546805349,0.39919355511665344,1.4237471058166362
"(1, 1)",3000,2,5,0.8,5,58,0.0,0.27420008182525635,0.32108237899665365
"(1, 1)",3000,2,5,0.8,10,47,0.015044576523031204,0.32585737109184265,0.9936495922262448
"(1, 1)",3000,2,5,0.8,15,34,0.043462109955423475,0.3016294836997986,1.2283147581111178
"(1, 1)",3000,2,5,1.0,5,54,0.0,0.29301658272743225,0.29970680534232597
"(1, 1)",3000,2,5,1.0,10,46,0.01188707280832095,0.32554203271865845,1.110979354768052
"(1, 1)",3000,2,5,1.0,15,33,0.0412332838038633,0.30756065249443054,1.2485600258918783
"(1, 1)",3000,2,10,0.2,5,152,0.08952451708766716,0.44385719299316406,0.8440233261984267
"(1, 1)",3000,2,10,0.2,10,122,0.20059435364041606,0.38655102252960205,0.8783058642691266
"(1, 1)",3000,2,10,0.2,15,91,0.350482912332838,0.21578948199748993,1.1264148576447717
"(1, 1)",3000,2,10,0.4,5,80,0.002600297176820208,0.2749667465686798,0.5184837631547976
"(1, 1)",3000,2,10,0.4,10,73,0.02897473997028232,0.38624492287635803,0.9927694816471213
"(1, 1)",3000,2,10,0.4,15,60,0.07708023774145617,0.38579949736595154,1.368398554649205
"(1, 1)",3000,2,10,0.6,5,63,0.0,0.3556237518787384,0.32862929760483145
"(1, 1)",3000,2,10,0.6,10,53,0.014858841010401188,0.44641754031181335,0.9288114507433493
"(1, 1)",3000,2,10,0.6,15,41,0.04179049034175334,0.4230092763900757,1.2537241369143062
"(1, 1)",3000,2,10,0.8,5,56,0.0,0.30234193801879883,0.3255923911795441
"(1, 1)",3000,2,10,0.8,10,46,0.013558692421991085,0.3588312566280365,0.880131015708053
"(1, 1)",3000,2,10,0.8,15,34,0.04011887072808321,0.3344321548938751,1.1750127410783322
"(1, 1)",3000,2,10,1.0,5,55,0.0,0.3278577923774719,0.31325191152723686
