ngram_range,max_features,min_df,eps,min_samples,num_clusters,noise_ratio,silhouette_score,davies_bouldin_score
"(1, 2)",1000,2,0.8,10,44,0.0077697333568779794,0.3837081491947174,1.1532408675028332
"(1, 2)",1000,2,0.8,15,34,0.029136500088292425,0.45963528752326965,1.0945798068253134
"(1, 2)",1000,2,1.0,5,43,0.0,0.17439094185829163,0.3375531686324926
"(1, 2)",1000,2,1.0,10,37,0.007593148507858026,0.18996770679950714,1.1584855156428278
"(1, 2)",1000,2,1.0,15,29,0.024015539466713757,0.27558010816574097,1.0720559345482965
"(1, 2)",3000,2,0.2,5,176,0.07328271234328095,0.5062125325202942,0.821720324305371
"(1, 2)",3000,2,0.2,10,125,0.1903584672435105,0.42249706387519836,0.9990654552810484
"(1, 2)",3000,2,0.2,15,100,0.29913473423980225,0.288994699716568,1.1128706582203485
"(1, 2)",3000,2,0.4,5,88,0.0022956030372594033,0.3425374925136566,0.5099127550880467
"(1, 2)",3000,2,0.4,10,74,0.027900406145152747,0.3076404333114624,1.3955385628926373
"(1, 2)",3000,2,0.4,15,57,0.08246512449231856,0.30311211943626404,1.4268750205355643
"(1, 2)",3000,2,0.6,5,71,0.0,0.46087396144866943,0.2698146855592993
"(1, 2)",3000,2,0.6,10,59,0.01465654246865619,0.45958322286605835,1.420426697312922
"(1, 2)",3000,2,0.6,15,44,0.04750132438636765,0.4223141372203827,1.4709826957941583
"(1, 2)",3000,2,0.8,5,65,0.0,0.46399423480033875,0.24564958243762786
"(1, 2)",3000,2,0.8,10,55,0.012890693978456649,0.4917996823787689,1.3877908631693805
"(1, 2)",3000,2,0.8,15,40,0.04414621225498852,0.46339210867881775,1.3924765382148203
"(1, 2)",3000,2,1.0,5,63,0.0,0.48562589287757874,0.23805797514332114
"(1, 2)",3000,2,1.0,10,54,0.011124845488257108,0.5054789781570435,1.261540731410263
"(1, 2)",3000,2,1.0,15,39,0.04238036376478898,0.47710222005844116,1.328127121280639
"(1, 2)",5000,2,0.2,5,166,0.07239978809818118,0.44515755772590637,0.8798902528952216
"(1, 2)",5000,2,0.2,10,131,0.17658484901995408,0.42640402913093567,1.0113297165917265
"(1, 2)",5000,2,0.2,15,104,0.2950732827123433,0.2980373203754425,1.1274656541160122
"(1, 2)",5000,2,0.4,5,90,0.00476779092353876,0.36509042978286743,0.5226132087338944
