eps,min_samples,num_clusters,noise_ratio,silhouette_score,davies_bouldin_score
0.2,5,174,0.29065866148684444,0.061792366206645966,0.9759459969421606
0.2,10,91,0.5216316440049443,-0.10301534086465836,0.9293967276093511
0.2,15,51,0.6708458414268056,-0.24761980772018433,0.8753677961898442
0.4,5,47,0.012714109129436693,-0.1253741830587387,1.198785593280545
0.4,10,30,0.054388133498145856,-0.0793786272406578,1.0519157716568355
0.4,15,26,0.10082994879039378,-0.09283503144979477,1.337122562680595
0.6,5,30,0.0003531696980399082,-0.1728261411190033,0.4590917854336344
0.6,10,21,0.01377361822355642,-0.08631758391857147,1.1269912320077042
0.6,15,17,0.024898463711813527,0.1735142469406128,1.3317640258883676
0.8,5,26,0.0,-0.004509987775236368,0.3426877377790802
0.8,10,18,0.009712166696097474,0.028197120875120163,1.0101910208265765
0.8,15,14,0.020130672788274767,0.05008716508746147,1.1434466861713195
1.0,5,25,0.0,0.08589006960391998,0.3257944139506471
1.0,10,17,0.009712166696097474,0.11895494163036346,0.9974249837563962
1.0,15,13,0.018541409147095178,0.14311915636062622,1.150529908211937
