eps,min_samples,num_clusters,noise_ratio,silhouette_score,davies_bouldin_score
0.2,5,176,0.2134910824651245,0.20371860265731812,0.8714732220429953
0.2,10,92,0.4296309376655483,0.06546198576688766,0.7469153517300258
0.2,15,65,0.5560656895638354,-0.049961309880018234,0.7139714119234529
0.4,5,45,0.011301430337277062,-0.13418814539909363,0.7814155008159357
0.4,10,38,0.04520572134910825,-0.11171188205480576,0.8734803394236235
0.4,15,33,0.08758608511389723,-0.07799837738275528,1.2031773587982917
0.6,5,31,0.0003531696980399082,-0.14069132506847382,0.4598202429866917
0.6,10,24,0.01165460003531697,0.06494811922311783,0.9896090207621849
0.6,15,22,0.022426275825534168,0.08246925473213196,1.60588303454861
0.8,5,28,0.0,0.05351365730166435,0.3820419087126152
0.8,10,23,0.00688680911177821,0.10181690007448196,0.8624846908834467
0.8,15,19,0.015186297015716051,0.09728846698999405,1.8469394552438583
1.0,5,27,0.0,0.050285790115594864,0.3770389683317152
1.0,10,22,0.00688680911177821,0.10671801120042801,0.8321895064518211
1.0,15,19,0.013067278827476603,0.09677442163228989,2.0174305889409427
